FOOD NAME,SCIENTIFIC NAME,GROUP,SUB GROUP
Vanilla,Vanilla,Herbs and Spices,Spices
Common verbena,Verbena officinalis,Herbs and Spices,Herbs
Broad bean,Vicia faba,Pulses,Beans
Adzuki bean,Vigna angularis,Pulses,Beans
Gram bean,Vigna mungo,Pulses,Beans
Mung bean,Vigna radiata,Pulses,Beans
Climbing bean,Vigna umbellata,Pulses,Beans
Cowpea,Vigna unguiculata,Pulses,Peas
Muscadine grape,Vitis rotundifolia,Fruits,Berries
Common grape,Vitis vinifera,Fruits,Berries
Corn,Zea mays,Cereals and cereal products,Cereals
Ginger,Zingiber officinale,Herbs and Spices,Spices
Arctic blackberry,Rubus arcticus,Fruits,Berries
Banana,Musa acuminata,Fruits,Tropical fruits
Bayberry,Myrica,Fruits,Berries
Elliott's blueberry,Vaccinium elliottii,Fruits,Berries
Canada blueberry,Vaccinium myrtilloides,Fruits,Berries
Bog bilberry,Vaccinium uliginosum,Fruits,Berries
Buffalo currant,Ribes aureum var. villosum,Fruits,Berries
Celeriac,Apium graveolens var. rapaceum,Vegetables,Root vegetables
Celery stalks,Apium graveolens var. dulce,Vegetables,Stalk vegetables
Chinese chives,Allium tuberosum,Herbs and Spices,Herbs
European cranberry,Vaccinium oxycoccos,Fruits,Berries
Deerberry,Vaccinium stamineum,Fruits,Berries
Ginseng,Panax,Herbs and Spices,Spices
Cascade huckleberry,Vaccinium deliciosum,Fruits,Berries
Oval-leaf huckleberry,Vaccinium ovalifolium,Fruits,Berries
Evergreen huckleberry,Vaccinium ovatum,Fruits,Berries
Red huckleberry,Vaccinium parvifolium,Fruits,Berries
Longan,Dimocarpus longan,Fruits,Tropical fruits
Macadamia nut (M. tetraphylla),Macadamia tetraphylla,Nuts,Nuts
Garden onion (var.),Allium cepa var. cepa,Vegetables,Onion-family vegetables
Summer grape,Vitis aestivalis,Fruits,Berries
Fox grape,Vitis labrusca,Fruits,Berries
Nectarine,Prunus persica var. nucipersica,Fruits,Drupes
Peach (var.),Prunus persica var. persica,Fruits,Drupes
Pepper (C. baccatum),Capsicum baccatum var. baccatum,Vegetables,Fruit vegetables
Pepper (C. chinense),Capsicum chinense,Vegetables,Fruit vegetables
Pepper (Capsicum),Capsicum,Vegetables,Fruit vegetables
Rambutan,Nephelium lappaceum,Fruits,Tropical fruits
Red rice,Oryza rufipogon,Cereals and cereal products,Cereals
Annual wild rice,Zizania aquatica,Cereals and cereal products,Cereals
Swiss chard,Beta vulgaris ssp. cicla,Vegetables,Leaf vegetables
Lemon thyme,Thymus pulegioides,Herbs and Spices,Herbs
Tronchuda cabbage,Brassica oleracea var. costata,Vegetables,Cabbages
Japanese walnut,Juglans ailanthifolia,Nuts,Nuts
Welsh onion,Allium fistulosum,Herbs and Spices,Herbs
Hard wheat,Triticum durum,Cereals and cereal products,Cereals
Shallot,Allium ascalonicum,Vegetables,Onion-family vegetables
Rocket salad,Eruca vesicaria,Vegetables,Leaf vegetables
Carrot,Daucus carota ssp. sativus,Vegetables,Root vegetables
Triticale,X Triticosecale rimpaui,Cereals and cereal products,Cereals
Black cabbage,Brassica oleracea var. viridis,Vegetables,Cabbages
Half-highbush blueberry,Vaccinium angustifolium X Vaccinium corymbosum,Fruits,Berries
Celery leaves,Apium graveolens var. secalinum,Herbs and Spices,Herbs
Chicory leaves,Cichorium intybus var. foliosum,Vegetables,Leaf vegetables
Komatsuna,Brassica rapa var. perviridis,Vegetables,Cabbages
Pak choy,Brassica rapa var. chinensis,Vegetables,Cabbages
Napa cabbage,Brassica rapa var. pekinensis,Vegetables,Cabbages
Chicory roots,Cichorium intybus var. sativum,Vegetables,Root vegetables
Grapefruit/Pummelo hybrid,Citrus paradisi X Citrus maxima,Fruits,Citrus
Grapefruit,Citrus X paradisi,Fruits,Citrus
Jostaberry,Ribes × nidigrolaria,Fruits,Berries
Kai-lan,Brassica oleracea var. alboglabra,Vegetables,Cabbages
Italian oregano,Origanum X majoricum,Herbs and Spices,Herbs
Oxheart cabbage,Brassica oleracea var. conica,Vegetables,Cabbages
Daikon radish,Raphanus sativus var. longipinnatus,Vegetables,Root vegetables
Black radish,Raphanus sativus var. niger,Vegetables,Root vegetables
Radish (var.),Raphanus sativus var. sativus,Vegetables,Root vegetables
Red beetroot,Beta vulgaris var. rubra,Vegetables,Root vegetables
Sweet rowanberry,Grataegosorbus mitschurinii,Fruits,Berries
Pineappple sage,Salvia elegans,Herbs and Spices,Herbs
Skunk currant,Ribes glandulosum,Fruits,Berries
Beer,Unclassified,Beverages,Fermented beverages
Other bread,Unclassified,Cereals and cereal products,Other breads
Breakfast cereal,Unclassified,Cereals and cereal products,Cereal products
Other soy product,Unclassified,Soy,Soy products
Other cereal product,Unclassified,Cereals and cereal products,Cereal products
Pasta,Unclassified,Cereals and cereal products,Cereal products
Biscuit,Unclassified,Cereals and cereal products,Cereal products
Sourdough,Unclassified,Cereals and cereal products,Doughs
Spirit,Unclassified,Beverages,Distilled beverages
Fortified wine,Unclassified,Beverages,Fortified wines
Other alcoholic beverage,Unclassified,Beverages,Alcoholic beverages
Abalone,Haliotis,Aquatic foods,Mollusks
Abiyuch,Crateva religiosa,Fruits,Tropical fruits
Acerola,Malpighia emarginata,Fruits,Tropical fruits
Acorn,Quercus,Nuts,Nuts
Winter squash,Cucurbita maxima,Gourds,Gourds
Agar,Eucheuma,Aquatic foods,Seaweed
Red king crab,Paralithodes camtschaticus,Aquatic foods,Crustaceans
Alfalfa,Medicago sativa,Herbs and Spices,Herbs
Allspice,Pimenta dioica,Herbs and Spices,Spices
Amaranth,Amaranthus,Herbs and Spices,Herbs
Arrowhead,Sagittaria latifolia,Vegetables,Tubers
Arrowroot,Maranta arundinacea,Vegetables,Tubers
Asian pear,Pyrus pyrifolia,Fruits,Pomes
Atlantic herring,Clupea harengus harengus,Aquatic foods,Fishes
Atlantic mackerel,Scomber scombrus,Aquatic foods,Fishes
Painted comber,Serranus scriba,Aquatic foods,Fishes
Atlantic pollock,Pollachius,Aquatic foods,Fishes
Atlantic wolffish,Anarhichas lupus,Aquatic foods,Fishes
Bamboo shoots,Phyllostachys edulis,Vegetables,Shoot vegetables
Striped bass,Morone saxatilis,Aquatic foods,Fishes
Beaver,Castor canadensis,Animal foods,Rodents
Beech nut,Fagus,Nuts,Nuts
Beluga whale,Delphinapterus leucas,Aquatic foods,Cetaceans
Bison,Bison bison,Animal foods,Bovines
Black bear,Ursus americanus,Animal foods,Other mammals
Alaska blackfish,Dallia pectoralis,Aquatic foods,Fishes
Blue crab,Callinectes sapidus,Aquatic foods,Crustaceans
Blue mussel,Mytilus edulis,Aquatic foods,Mollusks
Northern bluefin tuna,Thunnus thynnus,Aquatic foods,Fishes
Bluefish,Pomatomus saltatrix,Aquatic foods,Fishes
Wild boar,Sus scrofa,Animal foods,Swine
Bowhead whale,Balaena mysticetus,Aquatic foods,Cetaceans
Breadfruit,Artocarpus altilis,Fruits,Tropical fruits
Breadnut tree seed,Brosimum alicastrum,Herbs and Spices,Other seeds
Rapini,Brassica ruvo,Vegetables,Cabbages
Brown bear,Ursus arctos,Animal foods,Other mammals
Buffalo,Bubalus bubalis,Animal foods,Bovines
Burbot,Lota lota,Aquatic foods,Fishes
Giant butterbur,Petasites japonicus,Vegetables,Other vegetables
American butterfish,Peprilus triacanthus,Aquatic foods,Fishes
Butternut,Juglans cinerea,Nuts,Nuts
Butternut squash,Cucurbita moschata,Gourds,Gourds
Calabash,Lagenaria siceraria,Gourds,Gourds
Cardoon,Cynara cardunculus,Vegetables,Shoot vegetables
Caribou,Rangifer tarandus,Animal foods,Venison
Natal plum,Carissa macrocarpa,Fruits,Tropical fruits
Carob,Ceratonia siliqua,Vegetables,Other vegetables
Common carp,Cyprinus carpio,Aquatic foods,Fishes
Cassava,Manihot esculenta,Vegetables,Tubers
Channel catfish,Ictalurus punctatus,Aquatic foods,Fishes
Chayote,Sechium edule,Gourds,Gourds
Cherimoya,Annona cherimola,Fruits,Tropical fruits
Chervil,Anthriscus cerefolium,Herbs and Spices,Spices
Chia,Salvia hispanica,Herbs and Spices,Other seeds
"Chicken (Cock, Hen, Rooster)",Gallus gallus,Animal foods,Poultry
Chinese broccoli,Brassica alboglabra,Vegetables,Cabbages
Chinese chestnut,Castanea mollissima,Nuts,Nuts
Chinese water chestnut,Eleocharis dulcis,Vegetables,Other vegetables
Garland chrysanthemum,Chrysanthemum coronarium,Vegetables,Leaf vegetables
Cisco,Coregonus artedi,Aquatic foods,Fishes
Nuttall cockle,Clinocardium nuttallii,Aquatic foods,Mollusks
Coconut,Cocos nucifera,Fruits,Tropical fruits
Pacific cod,Gadus macrocephalus,Aquatic foods,Fishes
Atlantic cod,Gadus morhua,Aquatic foods,Fishes
Common octopus,Octopus vulgaris,Aquatic foods,Mollusks
Corn salad,Valerianella locusta,Vegetables,Leaf vegetables
Cottonseed,Gossypium,Herbs and Spices,Oilseed crops
Catjang pea,Vigna unguiculata ssp. cylindrica,Pulses,Peas
Malus (Crab apple),Malus,Fruits,Pomes
Squashberry,Viburnum edule,Fruits,Berries
Atlantic croaker,Micropogonias undulatus,Aquatic foods,Fishes
Cusk,Brosme brosme,Aquatic foods,Fishes
Cuttlefish,Sepiidae,Aquatic foods,Mollusks
Mule deer,Odocoileus,Animal foods,Venison
Devilfish,Myoxocephalus,Aquatic foods,Fishes
Dock,Rumex,Herbs and Spices,Herbs
Dolphin fish,Coryphaena hippurus,Aquatic foods,Fishes
Freshwater drum,Aplodinotus grunniens,Aquatic foods,Fishes
Mallard duck,Anas platyrhynchos,Animal foods,Poultry
Dungeness crab,Cancer magister,Aquatic foods,Crustaceans
Durian,Durio zibethinus,Fruits,Tropical fruits
Eastern oyster,Crassostrea virginica,Aquatic foods,Mollusks
Freshwater eel,Anguilla,Aquatic foods,Fishes
Elderberry,Sambucus,Fruits,Berries
Elk,Cervus canadensis,Animal foods,Venison
Emu,Dromaius novaehollandiae,Animal foods,Poultry
Oregon yampah,Perideridia oregana,Vegetables,Root vegetables
European anchovy,Engraulis encrasicolus,Aquatic foods,Fishes
European chestnut,Castanea sativa,Nuts,Nuts
Turbot,Scophthalmus maximus,Aquatic foods,Fishes
Fireweed,Chamerion angustifolium,Herbs and Spices,Herbs
Florida pompano,Trachinotus carolinus,Aquatic foods,Fishes
Ginkgo nuts,Ginkgo biloba,Herbs and Spices,Other seeds
Greylag goose,Anser anser,Animal foods,Poultry
Grape,Vitis,Fruits,Berries
Greenland halibut/turbot,Reinhardtius hippoglossoides,Aquatic foods,Fishes
Groundcherry,Physalis,Vegetables,Fruit vegetables
Grouper,Epinephelus,Aquatic foods,Fishes
Guinea hen,Numida meleagris,Animal foods,Poultry
Haddock,Melanogrammus aeglefinus,Aquatic foods,Fishes
Hippoglossus (Common halibut),Hippoglossus,Aquatic foods,Fishes
Hazelnut,Corylus,Nuts,Nuts
Hickory nut,Carya,Nuts,Nuts
Horse,Equus caballus,Animal foods,Equines
Horseradish tree,Moringa oleifera,Vegetables,Other vegetables
Alaska blueberry,Vaccinium alaskaense,Fruits,Berries
Hyacinth bean,Lablab purpureus,Pulses,Beans
Irish moss,Chondrus crispus,Aquatic foods,Seaweed
Pacific jack mackerel,Trachurus symmetricus,Aquatic foods,Fishes
Jackfruit,Artocarpus heterophyllus,Fruits,Tropical fruits
Japanese chestnut,Castanea crenata,Nuts,Nuts
Java plum,Syzygium cumini,Fruits,Tropical fruits
Jerusalem artichoke,Helianthus tuberosus,Vegetables,Tubers
Jujube,Ziziphus zizyphus,Fruits,Other fruits
Jute,Corchorus olitorius,Vegetables,Leaf vegetables
Kale,Brassica napus var. pabularia,Vegetables,Cabbages
Kelp,Laminaria,Aquatic foods,Seaweed
King mackerel,Scomberomorus cavalla,Aquatic foods,Fishes
Kumquat,Fortunella,Fruits,Tropical fruits
Lambsquarters,Chenopodium album,Vegetables,Leaf vegetables
Leather chiton,Katharina tunicata,Aquatic foods,Mollusks
Wild leek,Allium ampeloprasum,Vegetables,Onion-family vegetables
Common ling,Molva molva,Aquatic foods,Fishes
Lingcod,Ophiodon elongatus,Aquatic foods,Fishes
American lobster,Homarus americanus,Aquatic foods,Crustaceans
Loganberry,Rubus loganobaccus,Fruits,Berries
Lotus,Nelumbo,Herbs and Spices,Other seeds
Sacred lotus,Nelumbo nucifera,Vegetables,Other vegetables
White lupine,Lupinus albus,Pulses,Other pulses
Malabar spinach,Basella alba,Vegetables,Leaf vegetables
Mammee apple,Mammea americana,Fruits,Tropical fruits
Purple mangosteen,Garcinia mangostana,Fruits,Tropical fruits
Alpine sweetvetch,Hedysarum alpinum,Vegetables,Root vegetables
Milkfish,Chanos chanos,Aquatic foods,Fishes
Monkfish,Lophius piscatorius,Aquatic foods,Fishes
Moose,Alces alces,Animal foods,Venison
Moth bean,Vigna aconitifolia,Pulses,Beans
Mountain yam,Dioscorea pentaphylla,Vegetables,Tubers
Striped mullet,Mugil cephalus,Aquatic foods,Fishes
Muskrat,Ondatra zibethicus,Animal foods,Rodents
White mustard,Sinapis alba,Herbs and Spices,Spices
Mustard spinach,Brassica perviridis,Vegetables,Cabbages
New Zealand spinach,Tetragonia tetragonioides,Vegetables,Leaf vegetables
Nopal,Opuntia cochenillifera,Vegetables,Other vegetables
Ocean pout,Zoarces americanus,Aquatic foods,Fishes
North Pacific giant octopus,Enteroctopus dofleini,Aquatic foods,Mollusks
Ohelo berry,Vaccinium reticulatum,Fruits,Berries
Okra,Abelmoschus esculentus,Vegetables,Other vegetables
Tunicate,Tunicata,Aquatic foods,Other aquatic foods
Opossum,Didelphis virginiana,Animal foods,Marsupials
Ostrich,Struthio camelus,Animal foods,Poultry
Spotted seal,Phoca largha,Aquatic foods,Pinnipeds
Pacific herring,Clupea pallasii,Aquatic foods,Fishes
Pacific oyster,Crassostrea gigas,Aquatic foods,Mollusks
Pacific rockfish,Sebastes,Aquatic foods,Fishes
Velvet duck,Melanitta fusca,Animal foods,Poultry
Pepper (C. frutescens),Capsicum annuum var. annuum,Vegetables,Fruit vegetables
Common persimmon,Diospyros virginiana,Fruits,Tropical fruits
Pheasant,Phasianus colchicus,Animal foods,Poultry
Northern pike,Esox lucius,Aquatic foods,Fishes
Pili nut,Canarium ovatum,Nuts,Nuts
Colorado pinyon,Pinus edulis,Nuts,Nuts
Pitanga,Eugenia uniflora,Fruits,Tropical fruits
Plains prickly pear,Opuntia macrorhiza,Fruits,Tropical fruits
French plantain,Musa X paradisiaca,Fruits,Tropical fruits
American pokeweed,Phytolacca americana,Vegetables,Shoot vegetables
Polar bear,Ursus maritimus,Animal foods,Other mammals
Opium poppy,Papaver somniferum,Herbs and Spices,Spices
Prairie turnip,Pediomelum esculentum,Vegetables,Root vegetables
Prickly pear,Opuntia,Fruits,Tropical fruits
Quinoa,Chenopodium quinoa,Herbs and Spices,Other seeds
European rabbit,Oryctolagus,Animal foods,Lagomorphs
Raccoon,Procyon lotor,Animal foods,Other mammals
Rainbow smelt,Osmerus mordax,Aquatic foods,Fishes
Rainbow trout,Oncorhynchus mykiss,Aquatic foods,Fishes
Malabar plum,Syzygium jambos,Fruits,Tropical fruits
Rose hip,Rosa,Herbs and Spices,Herbs
Roselle,Hibiscus sabdariffa,Herbs and Spices,Herbs
Orange roughy,Hoplostethus atlanticus,Aquatic foods,Fishes
Sablefish,Anoplopoma fimbria,Aquatic foods,Fishes
Pink salmon,Oncorhynchus gorbuscha,Aquatic foods,Fishes
Chum salmon,Oncorhynchus keta,Aquatic foods,Fishes
Coho salmon,Oncorhynchus kisutch,Aquatic foods,Fishes
Sockeye salmon,Oncorhynchus nerka,Aquatic foods,Fishes
Chinook salmon,Oncorhynchus tshawytscha,Aquatic foods,Fishes
Atlantic salmon,Salmo salar,Aquatic foods,Fishes
Salmonberry,Rubus spectabilis,Fruits,Berries
Common salsify,Tragopogon porrifolius,Vegetables,Root vegetables
Sapodilla,Manilkara zapota,Fruits,Tropical fruits
Mamey sapote,Pouteria sapota,Fruits,Tropical fruits
Spanish mackerel,Scomberomorus maculatus,Aquatic foods,Fishes
Pacific sardine,Sardinops sagax,Aquatic foods,Fishes
Scallop,Pectinidae,Aquatic foods,Mollusks
Scup,Stenotomus chrysops,Aquatic foods,Fishes
Sea cucumber,Parastichopus californicus,Aquatic foods,Other aquatic foods
Steller sea lion,Eumetopias jubatus,Aquatic foods,Pinnipeds
Bearded seal,Erignathus barbatus,Aquatic foods,Pinnipeds
Ringed seal,Pusa hispida,Aquatic foods,Pinnipeds
Seatrout,Cynoscion,Aquatic foods,Fishes
Sesbania flower,Sesbania bispinosa,Vegetables,Other vegetables
American shad,Alosa sapidissima,Aquatic foods,Fishes
Shark,Squaliformes,Aquatic foods,Fishes
Sheefish,Stenodus leucichthys,Aquatic foods,Fishes
